Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
COMUNICACION,C05,L01,10/16/24 14:02,10/16/24 16:32,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
INGENIERIA CIVIL,C05,L08,10/16/24 14:01,10/16/24 16:31,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
INGENIERIA CIVIL,C05,L07,10/16/24 14:00,10/16/24 16:30,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
COMUNICACION,C06,E29,10/16/24 13:59,10/16/24 16:29,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO,C06,E28,10/16/24 13:55,10/16/24 16:25,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
INGENIERIA CIVIL,C04,L02,10/16/24 13:54,10/16/24 16:24,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ECONOMIA,C01,L16,10/16/24 13:52,10/16/24 16:22,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C04,L28,10/16/24 13:51,10/16/24 16:21,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L27,10/16/24 13:50,10/16/24 16:20,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C02,C10,10/16/24 13:49,10/16/24 16:19,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ECONOMIA,C01,L14,10/16/24 13:50,10/16/24 16:20,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C04,L22,10/16/24 13:46,10/16/24 16:16,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T15,10/16/24 13:47,10/16/24 16:17,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
ARQUITECTURA,C04,L21,10/16/24 13:47,10/16/24 16:17,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
